# x psi_r psi_i psi2 
-7.889321e+00 -8.887292e-04  2.317310e-03 6.159766e-06
-7.888995e+00  1.197839e-03 -3.416216e-03 1.310535e-05
-7.888670e+00 -1.140498e-03  3.471254e-03 1.335034e-05
-7.888344e+00  7.342553e-04 -2.465602e-03 6.618323e-06
-7.888019e+00 -1.033975e-04  7.065440e-04 5.098954e-07
-7.887693e+00 -5.590783e-04  1.268419e-03 1.921454e-06
-7.887368e+00  1.050506e-03 -2.855809e-03 9.259210e-06
-7.887042e+00 -1.220551e-03  3.570576e-03 1.423876e-05
-7.886716e+00  1.017200e-03 -3.194307e-03 1.123829e-05
-7.886391e+00 -5.026701e-04  1.841970e-03 3.645530e-06
-7.886065e+00 -1.656270e-04  7.321591e-05 3.279287e-08
-7.885740e+00  7.832416e-04 -1.966041e-03 4.478784e-06
-7.885414e+00 -1.161233e-03  3.258126e-03 1.196385e-05
-7.885089e+00  1.183971e-03 -3.554652e-03 1.403734e-05
-7.884763e+00 -8.445064e-04  2.765005e-03 8.358443e-06
-7.884438e+00  2.466955e-04 -1.130467e-03 1.338813e-06
-7.884112e+00  4.265734e-04 -8.495120e-04 9.036354e-07
-7.883787e+00 -9.693312e-04  2.569922e-03 7.544104e-06
-7.883461e+00  1.215539e-03 -3.505067e-03 1.376303e-05
-7.883136e+00 -1.089883e-03  3.369195e-03 1.253932e-05
-7.882810e+00  6.308100e-04 -2.203816e-03 5.254725e-06
-7.882485e+00  2.123305e-05  3.650220e-04 1.336919e-07
-7.882159e+00 -6.667685e-04  1.585321e-03 2.957824e-06
-7.881834e+00  1.108313e-03 -3.051260e-03 1.053854e-05
-7.881508e+00 -1.210793e-03  3.584852e-03 1.431718e-05
-7.881182e+00  9.428625e-04 -3.023044e-03 1.002779e-05
-7.880857e+00 -3.864945e-04  1.537499e-03 2.513281e-06
-7.880531e+00 -2.881010e-04  4.178610e-04 2.576100e-07
-7.880206e+00  8.745486e-04 -2.245551e-03 5.807332e-06
-7.879880e+00 -1.193443e-03  3.387092e-03 1.289670e-05
-7.879555e+00  1.147231e-03 -3.493667e-03 1.352185e-05
-7.879229e+00 -7.500563e-04  2.532703e-03 6.977167e-06
-7.878904e+00  1.234296e-04 -7.978282e-04 6.517647e-07
-7.878578e+00  5.409468e-04 -1.180846e-03 1.687021e-06
-7.878253e+00 -1.039825e-03  2.798709e-03 8.914010e-06
-7.877927e+00  1.220590e-03 -3.561398e-03 1.417340e-05
-7.877602e+00 -1.027946e-03  3.235856e-03 1.152744e-05
-7.877276e+00  5.208336e-04 -1.921549e-03 3.963620e-06
-7.876951e+00  1.456058e-04  2.007661e-05 2.160411e-08
-7.876625e+00 -7.674910e-04  1.887544e-03 4.151866e-06
-7.876300e+00  1.154574e-03 -3.218412e-03 1.169122e-05
-7.875974e+00 -1.188442e-03  3.565858e-03 1.412774e-05
-7.875649e+00  8.587376e-04 -2.823707e-03 8.710750e-06
-7.875323e+00 -2.663310e-04  1.218726e-03 1.556226e-06
-7.874997e+00 -4.075440e-04  7.586652e-04 7.416650e-07
-7.874672e+00  9.567327e-04 -2.504250e-03 7.186605e-06
-7.874346e+00 -1.213228e-03  3.484638e-03 1.361462e-05
-7.874021e+00  1.098565e-03 -3.400252e-03 1.276856e-05
-7.873695e+00 -6.478285e-04  2.276869e-03 5.603816e-06
-7.873370e+00 -1.087924e-06 -4.577483e-04 2.095347e-07
-7.873044e+00  6.496632e-04 -1.501258e-03 2.675837e-06
-7.872719e+00 -1.099483e-03  3.001548e-03 1.021815e-05
-7.872393e+00  1.212941e-03 -3.584683e-03 1.432117e-05
-7.872068e+00 -9.553307e-04  3.072471e-03 1.035273e-05
-7.871742e+00  4.054660e-04 -1.621417e-03 2.793396e-06
-7.871417e+00  2.684334e-04 -3.250947e-04 1.777430e-07
-7.871091e+00 -8.602049e-04  2.172284e-03 5.458771e-06
-7.870766e+00  1.188813e-03 -3.355715e-03 1.267410e-05
-7.870440e+00 -1.153732e-03  3.513768e-03 1.367766e-05
-7.870115e+00  7.656986e-04 -2.598140e-03 7.336624e-06
-7.869789e+00 -1.434242e-04  8.886052e-04 8.101898e-07
-7.869463e+00 -5.227202e-04  1.092469e-03 1.466724e-06
-7.869138e+00  1.028945e-03 -2.739739e-03 8.564897e-06
-7.868812e+00 -1.220387e-03  3.549855e-03 1.409081e-05
-7.868487e+00  1.038482e-03 -3.275268e-03 1.180583e-05
-7.868161e+00 -5.388829e-04  1.999874e-03 4.289890e-06
-7.867836e+00 -1.255680e-04 -1.133789e-04 2.862208e-08
-7.867510e+00  7.515983e-04 -1.807776e-03 3.832953e-06
-7.867185e+00 -1.147691e-03  3.176554e-03 1.140769e-05
